WigleWifi-1.4,appRelease=2.26,model=GT-I9301I,release=4.4.2,device=s3ve3g,display=KOT49H.I9301IXXSAQA1,board=MSM8226,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:45,1,-84,32.11580714,34.94163027,76,15,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:45,1,-72,32.11580714,34.94163027,76,15,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:45,6,-80,32.11580714,34.94163027,76,15,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:45,0,-69,32.11580714,34.94163027,76,15,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:51,6,-83,32.11591834,34.94028028,68,12,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:51,1,-84,32.11591834,34.94028028,68,12,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:51,1,-78,32.11591834,34.94028028,68,12,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:51,6,-77,32.11591834,34.94028028,68,12,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:51,0,-69,32.11591834,34.94028028,68,12,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:57,6,-84,32.11598533,34.93884483,69,12,WIFI
78:d3:8d:e4:ff:04,acseess for camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:57,1,-83,32.11598533,34.93884483,69,12,WIFI
78:d3:8d:e4:ff:1c,repeater from office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:57,1,-77,32.11598533,34.93884483,69,12,WIFI
78:d3:8d:e4:ff:50,camera,[WPA2-PSK-CCMP][ESS],2017-11-09 02:55:57,6,-81,32.11598533,34.93884483,69,12,WIFI
42507_10222_1442761,HOT mobile,HSDPA;il,2017-11-09 02:55:57,0,-67,32.11598533,34.93884483,69,12,GSM
78:d3:8d:e4:ff:28,office,[WPA2-PSK-CCMP][ESS],2017-11-09 02:56:03,6,-86,32.11604131,34.93737684,67,12,WIFI
