WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:03,5,-91,32.16686101,34.80886888,25,4,WIFI
6c:2e:85:fe:9f:bc,HOTBOX-D124,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:03,1,-91,32.16686101,34.80886888,25,4,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:08,6,-88,32.16689742,34.80859096,25,3,WIFI
00:1d:aa:34:1e:58,Efrat Networks NC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:08,11,-81,32.16689742,34.80859096,25,3,WIFI
08:6a:0a:37:66:66,HOTFiber-2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:08,1,-91,32.16689742,34.80859096,25,3,WIFI
fa:8f:ca:93:a5:64,,[ESS],2017-10-27 16:36:08,6,-87,32.16689742,34.80859096,25,3,WIFI
d8:fe:e3:03:c7:b1,BENY PUR,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:11,6,-80,32.16698668,34.80831306,26,3,WIFI
18:1e:78:86:00:63,HOTFiber-2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:11,1,-89,32.16698668,34.80831306,26,3,WIFI
00:02:6f:bb:fd:ac,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:14,1,-81,32.16710359,34.80798987,28,3,WIFI
5a:fe:e3:03:c7:b3,0506679780,[ESS],2017-10-27 16:36:14,6,-81,32.16710359,34.80798987,28,3,WIFI
c0:ff:d4:7b:82:30,Candan,[ESS],2017-10-27 16:36:14,1,-93,32.16710359,34.80798987,28,3,WIFI
c0:56:27:a0:6c:9a,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:17,3,-88,32.16722868,34.80761207,30,3,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:17,5,-89,32.16722868,34.80761207,30,3,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:17,3,-91,32.16722868,34.80761207,30,3,WIFI
a0:ab:1b:62:a7:bc,Home.,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:17,1,-83,32.16722868,34.80761207,30,3,WIFI
30:b5:c2:bd:52:40,Rabia,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:17,6,-86,32.16722868,34.80761207,30,3,WIFI
14:ae:db:c2:74:65,sm,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:17,6,-90,32.16722868,34.80761207,30,3,WIFI
74:da:38:0e:db:1c,NIZZA333_2EX,[WPA-PSK-TKIP][WPA2-PSK-TKIP-preauth][ESS],2017-10-27 16:36:17,11,-93,32.16722868,34.80761207,30,3,WIFI
30:b5:c2:bd:52:40,Rabia,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:20,6,-74,32.16737009,34.80723953,30,3,WIFI
c8:d3:ff:79:a3:db,DIRECT-DA-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:20,9,-90,32.16737009,34.80723953,30,3,WIFI
20:0c:c8:10:c8:11,Heifes,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:20,1,-91,32.16737009,34.80723953,30,3,WIFI
04:a1:51:e2:7d:fe,aron,[WPS][ESS],2017-10-27 16:36:20,11,-89,32.16737009,34.80723953,30,3,WIFI
52:a1:51:e2:7d:ff,Bezeq Free,[ESS],2017-10-27 16:36:20,11,-90,32.16737009,34.80723953,30,3,WIFI
72:0c:c8:10:c8:12,Bezeq Free D02536,[ESS],2017-10-27 16:36:20,1,-93,32.16737009,34.80723953,30,3,WIFI
c0:ff:d4:7b:82:30,Candan,[ESS],2017-10-27 16:36:23,1,-90,32.16751498,34.80683618,32,3,WIFI
20:0c:c8:10:c8:11,Heifes,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:23,1,-84,32.16751498,34.80683618,32,3,WIFI
72:0c:c8:10:c8:12,Bezeq Free D02536,[ESS],2017-10-27 16:36:23,1,-80,32.16751498,34.80683618,32,3,WIFI
84:26:15:eb:2d:b3,Ester_wifi,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:23,11,-86,32.16751498,34.80683618,32,3,WIFI
f4:6b:ef:e2:2c:1f,Casa1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:23,11,-88,32.16751498,34.80683618,32,3,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:23,5,-92,32.16751498,34.80683618,32,3,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:26,5,-91,32.1676062,34.80648761,35,3,WIFI
a0:ab:1b:62:a7:bc,Home.,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:26,1,-96,32.1676062,34.80648761,35,3,WIFI
80:1f:02:d7:6b:c8,bendet1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:36:26,6,-91,32.1676062,34.80648761,35,3,WIFI
30:b5:c2:bd:52:40,Rabia,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:29,6,-90,32.16771044,34.80621624,37,3,WIFI
08:97:58:33:b7:cc,wifi in car-1794,[WPA-PSK-CCMP][WPS][ESS],2017-10-27 16:36:29,1,-75,32.16771044,34.80621624,37,3,WIFI
f4:f2:6d:ca:5d:06,EMELET,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:36:29,8,-93,32.16771044,34.80621624,37,3,WIFI
e2:91:f5:b6:ec:a8,shor_Ext,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:32,11,-91,32.16779375,34.80608261,37,3,WIFI
c0:ff:d4:d1:e4:20,ApartmentD,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:32,6,-93,32.16779375,34.80608261,37,3,WIFI
74:da:38:a9:0c:3e,Annatel_3372,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:37,2,-85,32.16789236,34.80594706,40,3,WIFI
20:0c:c8:10:c8:11,Heifes,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:40,1,-88,32.16787943,34.80577971,41,3,WIFI
72:0c:c8:10:c8:12,Bezeq Free D02536,[ESS],2017-10-27 16:36:40,1,-91,32.16787943,34.80577971,41,3,WIFI
18:d6:c7:ef:1e:a4,Hazan_Home,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:40,11,-89,32.16787943,34.80577971,41,3,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:36:43,6,-91,32.16773211,34.80577425,40,3,WIFI
88:51:fb:20:6b:86,HP-Print-86-Officejet Pro 8600,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:49,11,-91,32.16760779,34.80626857,40,3,WIFI
cc:b2:55:e6:08:64,Bezeq-NGN_E60863,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-10-27 16:36:55,6,-93,32.16745405,34.8067466,38,3,WIFI
cc:b2:55:e6:08:67,Bezeq Free,[ESS],2017-10-27 16:36:55,6,-95,32.16745405,34.8067466,38,3,WIFI
72:0c:c8:10:c8:12,Bezeq Free D02536,[ESS],2017-10-27 16:36:55,1,-84,32.16745405,34.8067466,38,3,WIFI
20:0c:c8:10:c8:11,Heifes,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:58,1,-90,32.16738263,34.80704301,36,4,WIFI
88:51:fb:20:6b:86,HP-Print-86-Officejet Pro 8600,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:01,11,-92,32.16732484,34.8073338,31,4,WIFI
30:b5:c2:bd:52:40,Rabia,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:01,6,-90,32.16732484,34.8073338,31,4,WIFI
74:da:38:cc:d8:80,Vexlerar_2EX,[WPA2-PSK-CCMP-preauth][WPS][ESS],2017-10-27 16:37:01,9,-93,32.16732484,34.8073338,31,4,WIFI
a0:ab:1b:62:a7:bc,Home.,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:04,1,-90,32.1672203,34.80757898,30,4,WIFI
f4:6b:ef:e2:2c:1f,Casa1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:07,11,-90,32.16710326,34.80786315,26,4,WIFI
72:0c:c8:10:c8:12,Bezeq Free D02536,[ESS],2017-10-27 16:37:07,1,-92,32.16710326,34.80786315,26,4,WIFI
84:26:15:eb:2d:b3,Ester_wifi,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:07,11,-93,32.16710326,34.80786315,26,4,WIFI
14:ae:db:3d:b1:55,EL5,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:07,48,-88,32.16710326,34.80786315,26,4,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:37:07,6,-87,32.16710326,34.80786315,26,4,WIFI
20:0c:c8:10:c8:11,Heifes,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:10,1,-91,32.16701367,34.80810925,22,4,WIFI
74:da:38:50:ce:4c,edimax_repeater,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:10,2,-94,32.16701367,34.80810925,22,4,WIFI
d8:fe:e3:03:c7:b1,BENY PUR,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:10,6,-74,32.16701367,34.80810925,22,4,WIFI
30:e1:71:c5:17:eb,DIRECT-EA-HP OfficeJet Pro 6960,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:10,6,-84,32.16701367,34.80810925,22,4,WIFI
5a:fe:e3:03:c7:b3,0506679780,[ESS],2017-10-27 16:37:10,6,-73,32.16701367,34.80810925,22,4,WIFI
30:b5:c2:bd:52:40,Rabia,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:37:13,6,-89,32.16692966,34.80836155,15,4,WIFI
74:da:38:cc:d8:80,Vexlerar_2EX,[WPA2-PSK-CCMP-preauth][WPS][ESS],2017-10-27 16:37:13,9,-92,32.16692966,34.80836155,15,4,WIFI
f8:e9:03:0e:a1:5d,levi_1,[WPA2-PSK-CCMP][ESS],2017-10-27 16:37:13,11,-88,32.16692966,34.80836155,15,4,WIFI
